id,name,genus,type_1,type_2,color,generation,pokedex_entry
279,pelipper,Water Bird Pokémon,water,flying,yellow,generation-iii,PELIPPER is a flying transporter that carries small POKéMON and eggs inside its massive bill. This POKéMON builds its nest on steep cliffs facing the sea.
280,ralts,Feeling Pokémon,psychic,fairy,white,generation-iii,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
281,kirlia,Emotion Pokémon,psychic,fairy,white,generation-iii,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.
282,gardevoir,Embrace Pokémon,psychic,fairy,white,generation-iii,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
283,surskit,Pond Skater Pokémon,bug,water,blue,generation-iii,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
284,masquerain,Eyeball Pokémon,bug,flying,blue,generation-iii,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.
285,shroomish,Mushroom Pokémon,grass,,brown,generation-iii,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
286,breloom,Mushroom Pokémon,grass,fighting,green,generation-iii,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
287,slakoth,Slacker Pokémon,normal,,brown,generation-iii,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
288,vigoroth,Wild Monkey Pokémon,normal,,white,generation-iii,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.
289,slaking,Lazy Pokémon,normal,,brown,generation-iii,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
290,nincada,Trainee Pokémon,bug,ground,gray,generation-iii,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.
291,ninjask,Ninja Pokémon,bug,flying,yellow,generation-iii,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
292,shedinja,Shed Pokémon,bug,ghost,brown,generation-iii,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back."
293,whismur,Whisper Pokémon,normal,,pink,generation-iii,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
294,loudred,Big Voice Pokémon,normal,,blue,generation-iii,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.
295,exploud,Loud Noise Pokémon,normal,,blue,generation-iii,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
296,makuhita,Guts Pokémon,fighting,,yellow,generation-iii,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
297,hariyama,Arm Thrust Pokémon,fighting,,brown,generation-iii,"HARIYAMA practices its straight-arm slaps in any number of locations. One hit of this POKéMON’s powerful, openhanded, straight-arm punches could snap a telephone pole in two."
298,azurill,Polka Dot Pokémon,normal,fairy,blue,generation-iii,"AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet."
299,nosepass,Compass Pokémon,rock,,gray,generation-iii,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
300,skitty,Kitten Pokémon,normal,,pink,generation-iii,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.
301,delcatty,Prim Pokémon,normal,,purple,generation-iii,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
302,sableye,Darkness Pokémon,dark,ghost,purple,generation-iii,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
303,mawile,Deceiver Pokémon,steel,fairy,black,generation-iii,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws."
304,aron,Iron Armor Pokémon,steel,rock,gray,generation-iii,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
305,lairon,Iron Armor Pokémon,steel,rock,gray,generation-iii,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.
306,aggron,Iron Armor Pokémon,steel,rock,gray,generation-iii,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.
307,meditite,Meditate Pokémon,fighting,psychic,blue,generation-iii,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
308,medicham,Meditate Pokémon,fighting,psychic,red,generation-iii,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
309,electrike,Lightning Pokémon,electric,,green,generation-iii,ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.
310,manectric,Discharge Pokémon,electric,,yellow,generation-iii,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds."
311,plusle,Cheering Pokémon,electric,,yellow,generation-iii,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy."
312,minun,Cheering Pokémon,electric,,yellow,generation-iii,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
313,volbeat,Firefly Pokémon,bug,,gray,generation-iii,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE."
314,illumise,Firefly Pokémon,bug,,purple,generation-iii,"ILLUMISE attracts a swarm of VOLBEAT using a sweet fragrance. Once the VOLBEAT have gathered, this POKéMON leads the lit-up swarm in drawing geometric designs on the canvas of the night sky."
315,roselia,Thorn Pokémon,grass,poison,green,generation-iii,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.
316,gulpin,Stomach Pokémon,poison,,green,generation-iii,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything."
317,swalot,Poison Bag Pokémon,poison,,purple,generation-iii,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth."
318,carvanha,Savage Pokémon,water,dark,red,generation-iii,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.
319,sharpedo,Brutal Pokémon,water,dark,blue,generation-iii,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker."
320,wailmer,Ball Whale Pokémon,water,,blue,generation-iii,WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.
321,wailord,Float Whale Pokémon,water,,blue,generation-iii,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
322,numel,Numb Pokémon,fire,ground,yellow,generation-iii,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
323,camerupt,Eruption Pokémon,fire,ground,red,generation-iii,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
324,torkoal,Coal Pokémon,fire,,brown,generation-iii,"TORKOAL digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this POKéMON spouts thick black smoke to beat a retreat."
325,spoink,Bounce Pokémon,psychic,,black,generation-iii,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop."
326,grumpig,Manipulate Pokémon,psychic,,purple,generation-iii,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
327,spinda,Spot Panda Pokémon,normal,,brown,generation-iii,"All the SPINDA that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this POKéMON give it the appearance of dancing."
328,trapinch,Ant Pit Pokémon,ground,,brown,generation-iii,"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
329,vibrava,Vibration Pokémon,ground,dragon,green,generation-iii,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
330,flygon,Mystic Pokémon,ground,dragon,green,generation-iii,"FLYGON is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
331,cacnea,Cactus Pokémon,grass,,green,generation-iii,"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down."
332,cacturne,Scarecrow Pokémon,grass,dark,green,generation-iii,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
333,swablu,Cotton Bird Pokémon,normal,flying,blue,generation-iii,SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.
334,altaria,Humming Pokémon,dragon,flying,blue,generation-iii,"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment."
335,zangoose,Cat Ferret Pokémon,normal,,white,generation-iii,Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.
336,seviper,Fang Snake Pokémon,poison,,black,generation-iii,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.
337,lunatone,Meteorite Pokémon,rock,psychic,yellow,generation-iii,"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far."
338,solrock,Meteorite Pokémon,rock,psychic,red,generation-iii,"SOLROCK is a new species of POKéMON that is said to have fallen from space. It floats in air and moves silently. In battle, this POKéMON releases intensely bright light."
339,barboach,Whiskers Pokémon,water,ground,gray,generation-iii,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
340,whiscash,Whiskers Pokémon,water,ground,blue,generation-iii,"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake."
341,corphish,Ruffian Pokémon,water,,red,generation-iii,CORPHISH were originally foreign POKéMON that were imported as pets. They eventually turned up in the wild. This POKéMON is very hardy and has greatly increased its population.
342,crawdaunt,Rogue Pokémon,water,dark,red,generation-iii,"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places."
343,baltoy,Clay Doll Pokémon,ground,psychic,brown,generation-iii,BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.
344,claydol,Clay Doll Pokémon,ground,psychic,black,generation-iii,CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.
345,lileep,Sea Lily Pokémon,rock,grass,purple,generation-iii,LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles shaped like flower petals.
346,cradily,Barnacle Pokémon,rock,grass,green,generation-iii,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
347,anorith,Old Shrimp Pokémon,rock,bug,gray,generation-iii,ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.
348,armaldo,Plate Pokémon,rock,bug,gray,generation-iii,ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.
349,feebas,Fish Pokémon,water,,brown,generation-iii,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers."
350,milotic,Tender Pokémon,water,,pink,generation-iii,MILOTIC is said to be the most beautiful of all the POKéMON. It has the power to becalm such emotions as anger and hostility to quell bitter feuding.
351,castform,Weather Pokémon,normal,,gray,generation-iii,CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.
352,kecleon,Color Swap Pokémon,normal,,green,generation-iii,KECLEON is capable of changing its body colors at will to blend in with its surroundings. There is one exception - this POKéMON can’t change the zigzag pattern on its belly.
353,shuppet,Puppet Pokémon,ghost,,black,generation-iii,"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home."
354,banette,Marionette Pokémon,ghost,,black,generation-iii,BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.
355,duskull,Requiem Pokémon,ghost,,black,generation-iii,"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn."
356,dusclops,Beckon Pokémon,ghost,,black,generation-iii,"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out."
357,tropius,Fruit Pokémon,grass,flying,green,generation-iii,"The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit."
358,chimecho,Wind Chime Pokémon,psychic,,blue,generation-iii,"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
359,absol,Disaster Pokémon,dark,,white,generation-iii,"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON."
360,wynaut,Bright Pokémon,psychic,,blue,generation-iii,"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail."
361,snorunt,Snow Hat Pokémon,ice,,gray,generation-iii,"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns."
362,glalie,Face Pokémon,ice,,gray,generation-iii,"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires."
363,spheal,Clap Pokémon,ice,water,blue,generation-iii,"SPHEAL is much faster rolling than walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy."
364,sealeo,Ball Roll Pokémon,ice,water,blue,generation-iii,SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.
365,walrein,Ice Break Pokémon,ice,water,blue,generation-iii,WALREIN’s two massively developed tusks can totally shatter blocks of ice weighing ten tons with one blow. This POKéMON’s thick coat of blubber insulates it from subzero temperatures.
366,clamperl,Bivalve Pokémon,water,,blue,generation-iii,CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.
367,huntail,Deep Sea Pokémon,water,,blue,generation-iii,HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.
368,gorebyss,South Sea Pokémon,water,,pink,generation-iii,"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks."
369,relicanth,Longevity Pokémon,water,rock,gray,generation-iii,RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.
370,luvdisc,Rendezvous Pokémon,water,,pink,generation-iii,LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.
371,bagon,Rock Head Pokémon,dragon,,blue,generation-iii,"BAGON has a dream of one day soaring in the sky. In doomed efforts to fly, this POKéMON hurls itself off cliffs. As a result of its dives, its head has grown tough and as hard as tempered steel."
372,shelgon,Endurance Pokémon,dragon,,white,generation-iii,"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish."
373,salamence,Dragon Pokémon,dragon,flying,blue,generation-iii,"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings."
374,beldum,Iron Ball Pokémon,steel,psychic,blue,generation-iii,"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism."
375,metang,Iron Claw Pokémon,steel,psychic,blue,generation-iii,"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power."
376,metagross,Iron Leg Pokémon,steel,psychic,blue,generation-iii,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs."
377,regirock,Rock Peak Pokémon,rock,,brown,generation-iii,"REGIROCK was sealed away by people long ago. If this POKéMON’s body is damaged in battle, it is said to seek out suitable rocks on its own to repair itself."
378,regice,Iceberg Pokémon,ice,,blue,generation-iii,"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F."
379,registeel,Iron Pokémon,steel,,gray,generation-iii,REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.
380,latias,Eon Pokémon,dragon,psychic,red,generation-iii,"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe."
381,latios,Eon Pokémon,dragon,psychic,blue,generation-iii,LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech.
382,kyogre,Sea Basin Pokémon,water,,blue,generation-iii,KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.
383,groudon,Continent Pokémon,ground,,red,generation-iii,GROUDON has long been described in mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.
384,rayquaza,Sky High Pokémon,dragon,flying,green,generation-iii,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer, never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere."
385,jirachi,Wish Pokémon,steel,psychic,yellow,generation-iii,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening."
386,deoxys,DNA Pokémon,,,red,generation-iii,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.
387,turtwig,Tiny Leaf Pokémon,grass,,green,generation-iv,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
388,grotle,Grove Pokémon,grass,,green,generation-iv,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell."
389,torterra,Continent Pokémon,grass,ground,green,generation-iv,Small Pokémon occasionally gather on its unmoving back to begin building their nests.
390,chimchar,Chimp Pokémon,fire,,brown,generation-iv,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.
391,monferno,Playful Pokémon,fire,fighting,brown,generation-iv,"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger."
392,infernape,Flame Pokémon,fire,fighting,brown,generation-iv,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.
393,piplup,Penguin Pokémon,water,,blue,generation-iv,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold."
394,prinplup,Penguin Pokémon,water,,blue,generation-iv,"It lives alone, away from others. Apparently, every one of them believes it is the most important."
395,empoleon,Emperor Pokémon,water,steel,blue,generation-iv,The three horns that extend from its beak attest to its power. The leader has the biggest horns.
396,starly,Starling Pokémon,normal,flying,brown,generation-iv,"They flock in great numbers. Though small, they flap their wings with great power."
397,staravia,Starling Pokémon,normal,flying,brown,generation-iv,It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.
398,staraptor,Predator Pokémon,normal,flying,brown,generation-iv,It has a savage nature. It will courageously challenge foes that are much larger.
399,bidoof,Plump Mouse Pokémon,normal,,brown,generation-iv,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
400,bibarel,Beaver Pokémon,normal,water,brown,generation-iv,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.
401,kricketot,Cricket Pokémon,bug,,red,generation-iv,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone."
402,kricketune,Cricket Pokémon,bug,,red,generation-iv,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
403,shinx,Flash Pokémon,electric,,blue,generation-iv,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
404,luxio,Spark Pokémon,electric,,blue,generation-iv,Its claws loose electricity with enough amperage to cause fainting. They live in small groups.
405,luxray,Gleam Eyes Pokémon,electric,,blue,generation-iv,It has eyes that can see through anything. It spots and captures prey hiding behind objects.
406,budew,Bud Pokémon,grass,poison,green,generation-iv,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
407,roserade,Bouquet Pokémon,grass,poison,green,generation-iv,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms."
408,cranidos,Head Butt Pokémon,rock,,blue,generation-iv,It lived in jungles around 100 million years ago. Its skull is as hard as iron.
409,rampardos,Head Butt Pokémon,rock,,blue,generation-iv,Its powerful head butt has enough power to shatter even the most durable things upon impact.
410,shieldon,Shield Pokémon,rock,steel,gray,generation-iv,A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.
411,bastiodon,Shield Pokémon,rock,steel,gray,generation-iv,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.
412,burmy,Bagworm Pokémon,bug,,green,generation-iv,"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves."
413,wormadam,Bagworm Pokémon,,,green,generation-iv,"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed."
414,mothim,Moth Pokémon,bug,flying,yellow,generation-iv,It loves the honey of flowers and steals honey collected by COMBEE.
415,combee,Tiny Bee Pokémon,bug,flying,yellow,generation-iv,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.
416,vespiquen,Beehive Pokémon,bug,flying,yellow,generation-iv,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.
417,pachirisu,EleSquirrel Pokémon,electric,,white,generation-iv,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
418,buizel,Sea Weasel Pokémon,water,,brown,generation-iv,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.
419,floatzel,Sea Weasel Pokémon,water,,brown,generation-iv,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.
420,cherubi,Cherry Pokémon,grass,,pink,generation-iv,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty."
421,cherrim,Blossom Pokémon,grass,,purple,generation-iv,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.
422,shellos,Sea Slug Pokémon,water,,purple,generation-iv,"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed."
423,gastrodon,Sea Slug Pokémon,water,ground,purple,generation-iv,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back."
424,ambipom,Long Tail Pokémon,normal,,purple,generation-iv,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now."
425,drifloon,Balloon Pokémon,ghost,flying,purple,generation-iv,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons."
426,drifblim,Blimp Pokémon,ghost,flying,purple,generation-iv,"It’s drowzy in daytime, but flies off in the evening in big groups. No one knows where they go."
427,buneary,Rabbit Pokémon,normal,,brown,generation-iv,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.
428,lopunny,Rabbit Pokémon,normal,,brown,generation-iv,An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger.
429,mismagius,Magical Pokémon,ghost,,purple,generation-iv,Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.
430,honchkrow,Big Boss Pokémon,dark,flying,black,generation-iv,"Becoming active at night, it is known to swarm with numerous MURKROW in tow."
431,glameow,Catty Pokémon,normal,,gray,generation-iv,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.
432,purugly,Tiger Cat Pokémon,normal,,gray,generation-iv,It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.
433,chingling,Bell Pokémon,psychic,,yellow,generation-iv,It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.
434,stunky,Skunk Pokémon,poison,dark,purple,generation-iv,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.
435,skuntank,Skunk Pokémon,poison,dark,purple,generation-iv,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.
436,bronzor,Bronze Pokémon,steel,psychic,green,generation-iv,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.
437,bronzong,Bronze Bell Pokémon,steel,psychic,green,generation-iv,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep."
438,bonsly,Bonsai Pokémon,rock,,brown,generation-iv,It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.
439,mime-jr,Mime Pokémon,psychic,fairy,pink,generation-iv,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon."
440,happiny,Playhouse Pokémon,normal,,pink,generation-iv,It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY.
441,chatot,Music Note Pokémon,normal,flying,black,generation-iv,"It can learn and speak human words. If they gather, they all learn the same saying."
442,spiritomb,Forbidden Pokémon,ghost,dark,purple,generation-iv,A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.
